hop,count
2064,6452
2065,6341
2066,6309
2067,6309
2068,6322
2069,6244
2070,6339
2071,6197
2072,6211
2073,6433
2074,6403
2075,6466
2076,6458
2077,6315
2078,6424
2079,6377
2080,6470
2081,6454
2082,6744
2083,6794
2084,6731
2085,6678
2086,6766
2087,6771
2088,7005
2089,7053
2090,6908
2091,6948
2092,6812
2093,6924
2094,6901
2095,7022
2096,7012
2097,7083
2098,6933
2099,7041
2100,6908
2101,6965
2102,6925
2103,6939
2104,6934
2105,6854
2106,6693
2107,6806
2108,6967
2109,6796
2110,6667
2111,6730
2112,6798
2113,6820
2114,6820
2115,6915
2116,6887
2117,6716
2118,6665
2119,6624
2120,6696
2121,6631
2122,6679
2123,6893
2124,6920
2125,7054
2126,6843
2127,6823
2128,6728
2129,6789
2130,6611
2131,6541
2132,6348
2133,6337
2134,6326
2135,6509
2136,6484
2137,6612
2138,6687
2139,6775
2140,6812
2141,6781
2142,6787
2143,6722
2144,6590
2145,6637
2146,6454
2147,6462
2148,6330
2149,6342
2150,6450
2151,6466
2152,6395
2153,6442
2154,6450
2155,6606
2156,6560
2157,6454
2158,6411
2159,6340
2160,6509
2161,6403
2162,6378
2163,6262
2164,6277
2165,6361
2166,6260
2167,6299
2168,6255
2169,6363
2170,6438
2171,6492
2172,6545
2173,6410
2174,6407
2175,6424
2176,6407
2177,6356
2178,6385
2179,6339
2180,6542
2181,6603
2182,6428
2183,6430
2184,6332
2185,6364
2186,6243
2187,6266
2188,6400
2189,6526
2190,6548
2191,6649
2192,6583
2193,6558
2194,6385
2195,6510
2196,6391
2197,6449
2198,6487
2199,6336
2200,6255
2201,6375
2202,6332
2203,6269
2204,6325
2205,6315
2206,6392
2207,6261
2208,6220
2209,6079
2210,6104
2211,6139
2212,6261
2213,6359
2214,6323
2215,6326
2216,6475
2217,6544
2218,6631
2219,6672
2220,6822
2221,6627
2222,6698
2223,6521
2224,6415
2225,6513
2226,6645
2227,6678
2228,6754
2229,6929
2230,6835
2231,6800
2232,6926
2233,6952
2234,6992
2235,7127
2236,7189
2237,7062
2238,7040
2239,7029
2240,7094
2241,7136
2242,7401
2243,7299
2244,7456
2245,7516
2246,7320
2247,7302
2248,7247
2249,7114
2250,7204
2251,7349
2252,7200
2253,7014
2254,7090
2255,7162
2256,7142
2257,7043
2258,6914
2259,7141
2260,6990
2261,7059
2262,6997
2263,7134
2264,7039
2265,6970
2266,7241
2267,7299
2268,7287
2269,7225
2270,6973
2271,6978
2272,6878
2273,6940
2274,6877
2275,7113
2276,7026
2277,7088
2278,7201
2279,7207
2280,7304
2281,7147
2282,7076
2283,7023
2284,6911
2285,6864
2286,6872
2287,6977
2288,6885
2289,6935
2290,6953
2291,7016
2292,6971
2293,6911
2294,6906
2295,6908
2296,7016
2297,7269
2298,7169
2299,7383
2300,7396
2301,7277
2302,7183
2303,7306
2304,7354
2305,7320
2306,7208
2307,7108
2308,7060
2309,7220
2310,7128
2311,7183
2312,7175
2313,7000
2314,6982
2315,7186
2316,7293
2317,7259
2318,7319
2319,7392
2320,7455
2321,7610
2322,7522
2323,7584
2324,7663
2325,7716
2326,7741
2327,7725
2328,7840
2329,7770
2330,7910
2331,7837
2332,7681
2333,7589
2334,7749
2335,7705
2336,7556
2337,7430
2338,7517
2339,7484
2340,7462
2341,7702
2342,7753
2343,7847
2344,7899
2345,7714
2346,7601
2347,7636
2348,7648
2349,7735
2350,7830
2351,7993
2352,7913
2353,8061
2354,7954
2355,7914
2356,7875
2357,8097
2358,8142
2359,8274
2360,8272
2361,8269
2362,8273
2363,8329
2364,8455
2365,8467
2366,8378
2367,8230
2368,8249
2369,8052
2370,8116
2371,8088
2372,7904
2373,7946
2374,7983
2375,7930
2376,8000
2377,8213
2378,8176
2379,7989
2380,7961
2381,7803
2382,7762
2383,7954
2384,7908
2385,8009
2386,7818
2387,7649
2388,7721
2389,7750
2390,7724
2391,7681
2392,7634
2393,7750
2394,7834
2395,7788
2396,7658
2397,7805
2398,7787
2399,7653
2400,7629
2401,7664
2402,7645
2403,7410
2404,7463
2405,7277
2406,7169
2407,7149
2408,7022
2409,7008
2410,7030
2411,7212
2412,7463
2413,7262
2414,7233
2415,7244
2416,7153
2417,7063
2418,7185
2419,7291
2420,7322
2421,7551
2422,7519
2423,7603
2424,7529
2425,7620
2426,7696
2427,7872
2428,7767
2429,7680
2430,7700
2431,7718
2432,7622
2433,7694
2434,7669
2435,7742
2436,7909
2437,7733
2438,7625
2439,7732
2440,7777
2441,7639
2442,7535
2443,7459
2444,7224
2445,7058
2446,7037
2447,7214
2448,7359
2449,7380
2450,7109
2451,7289
2452,7230
2453,7240
2454,7339
2455,7339
2456,7238
2457,7506
2458,7466
2459,7291
2460,7148
2461,7119
2462,7186
2463,7155
2464,7337
2465,7301
2466,7397
2467,7352
2468,7543
2469,7499
2470,7533
2471,7360
2472,7349
2473,7256
2474,7180
2475,7326
2476,7260
2477,7187
2478,7243
2479,7107
2480,7114
2481,7047
2482,7112
2483,7040
2484,6976
2485,6914
2486,7110
2487,7376
2488,7423
2489,7478
2490,7438
2491,7379
2492,7165
2493,7143
2494,7240
2495,7151
2496,7147
2497,6876
2498,6966
2499,7022
2500,6955
2501,7165
2502,7027
2503,7240
2504,7225
2505,7270
2506,7386
2507,7259
2508,7162
2509,7193
2510,7324
2511,7336
2512,7440
2513,7210
2514,7265
2515,7224
2516,7193
2517,7024
2518,7203
2519,7204
2520,7029
2521,6959
2522,6723
